Ime,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bruno,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,5,5,-,-,-,-,-
Cene,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,5,-,5,8,6,6
Christian,8,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
�rt,10,10,-,7,15,10,6,7,10,11,9,14,12,18,10,18,23,11,9,17,13,13,14,14
�rtomir,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-
Damijan,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Damir,14,10,13,9,8,10,-,-,7,5,7,-,-,10,7,-,5,-,-,-,6,-,-,-
Damjan,31,30,38,21,22,23,22,10,10,8,7,9,8,-,7,-,6,10,-,7,6,-,7,5
Dan,-,-,-,-,-,-,-,-,6,5,-,7,-,10,7,8,10,5,9,12,-,6,10,-
Dani,-,7,-,-,-,8,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,7,-,-
Daniel,18,15,13,18,14,16,13,8,9,16,13,9,6,8,10,7,13,12,9,12,8,5,8,10
Danijel,47,38,23,33,22,23,14,15,16,21,19,11,13,-,8,15,12,15,6,8,8,6,9,6
Danilo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,5,-
Dario,-,6,-,-,-,7,-,8,6,-,7,6,-,-,-,-,-,-,-,6,-,-,-,-
Daris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,7,8,11,19,17,14
Darjan,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Darko,18,18,19,14,9,-,8,-,7,-,6,-,5,-,-,-,-,-,-,-,-,-,-,-
David,255,217,178,227,195,185,214,202,179,189,176,163,137,171,167,156,151,158,180,176,186,184,171,168
Davor,23,21,19,26,16,12,16,21,10,11,10,8,7,7,-,-,-,-,6,6,7,-,-,-
Davorin,14,14,15,11,8,-,8,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Davud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,7,9,15
Dean,9,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-
Dejan,140,109,107,78,74,67,50,55,39,52,39,38,31,22,29,21,26,17,22,11,12,17,16,11
Deni,7,7,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Denial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,6,-
Denis,204,174,147,119,121,105,105,74,82,69,54,65,62,42,42,24,32,26,36,25,19,17,15,18
Diar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6
Din,-,-,-,-,-,-,-,-,-,-,7,-,8,5,15,18,8,10,14,22,12,13,12,8
Dino,11,17,11,11,15,-,10,17,7,14,17,6,11,16,8,10,18,15,5,12,5,6,9,-
Dion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Domen,116,143,130,154,134,136,148,160,130,132,141,121,99,112,95,85,81,71,65,56,65,51,53,38
Dominik,34,49,35,41,46,54,49,27,34,31,36,22,23,26,22,29,34,19,27,42,30,41,26,26
Dorian,-,-,-,-,-,-,6,-,-,-,-,-,-,-,5,-,5,7,12,-,7,13,5,-
Dragan,12,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drago,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drejc,-,-,-,-,-,-,-,-,-,5,7,7,6,-,5,7,12,6,9,7,8,6,6,-
Du�an,11,10,-,-,10,-,-,6,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Edi,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,7,-,5,-,-,-,5
Edin,-,9,7,-,10,-,6,6,5,5,9,8,5,-,10,5,8,10,-,-,8,8,6,7
Edis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-
Edvin,-,-,-,-,-,7,-,-,-,-,-,-,7,-,-,-,11,9,-,-,-,5,-,-
Eldar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,-,-
Eldin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,-,-,-,5
